wavelength,reflectance
671.994,11.85
672.322,12.39
672.65,11.85
672.977,11.65
673.305,10.91
673.633,13.38
673.96,11.75
674.288,12.89
674.615,13.58
674.943,11.79
675.27,10.74
675.597,12.72
675.924,12.75
676.252,11.29
676.579,12.99
676.906,11.78
677.233,12.43
677.56,12.07
677.887,12.5
678.214,10.93
678.541,11
678.868,11.62
679.195,10.59
679.521,10.34
679.848,11.96
680.175,9.54
680.501,10.62
680.828,8.53
681.154,11.3
681.481,13.29
681.807,11.87
682.134,11.47
682.46,14
682.787,11.27
683.113,12.31
683.439,12.72
683.765,12.53
684.091,10.35
684.417,13.45
684.743,10.38
685.069,13.27
685.395,12.14
685.721,11.9
686.047,10.43
686.373,13.31
686.699,12.14
687.024,11.45
687.35,12.31
687.676,11.81
688.001,10.29
688.327,11.72
688.652,11.87
688.978,11.96
689.303,10.4
689.629,12.5
689.954,12.16
690.279,13.97
690.604,12.65
690.93,12.99
691.255,12.05
691.58,13.36
691.905,12.76
692.23,10.79
692.555,12.2
692.88,12.5
693.204,11.27
693.529,12.69
693.854,12.53
694.179,11.48
694.503,11.26
694.828,11.94
695.153,13.73
695.477,11.94
695.802,12.53
696.126,12.03
696.451,10.99
696.775,10.04
697.099,14.72
697.423,12.94
697.748,14.03
698.072,12.28
698.396,11.11
698.72,14.02
699.044,13.34
699.368,13.4
699.692,14.85
700.016,13.83
700.34,13.7
700.664,13.15
700.987,10.59
701.311,12.53
701.635,13.21
701.958,13.4
702.282,15.17
702.606,14.82
702.929,12.42
703.252,13.61
703.576,13.89
703.899,13.47
704.223,11.6
704.546,15.62
704.869,14.45
705.192,12.19
705.515,11.53
705.838,12.46
706.161,11.54
706.484,11.44
706.807,13.76
707.13,14.68
707.453,14.46
707.776,13.73
708.099,11.01
708.421,13.52
708.744,11.97
709.067,14.45
709.389,12.1
709.712,14.23
710.034,11.66
710.357,15.3
710.679,14.53
711.001,13.5
711.324,15.65
711.646,13.69
711.968,12.82
712.29,14.56
712.612,16.26
712.935,14.23
713.257,13.21
713.579,16.44
713.9,15.03
714.222,13.61
714.544,14.84
714.866,14.4
715.188,12.14
715.509,14.36
715.831,15.29
716.153,14.45
716.474,14.71
716.796,15.04
717.117,12.53
717.439,15.3
717.76,12.46
718.081,14.23
718.403,12.98
718.724,14.49
719.045,14.32
719.366,14.08
719.687,15.28
720.009,15.39
720.33,15.8
720.651,17.25
720.971,12.24
721.292,12.37
721.613,13.78
721.934,14.22
722.255,13.77
722.575,15.55
722.896,14.27
723.217,15.74
723.537,13.52
723.858,13.03
724.178,15.41
724.499,16.5
724.819,14.94
725.139,13.67
725.46,15.03
725.78,13.57
726.1,12.45
726.42,16.96
726.74,15.15
727.06,17.25
727.38,14.59
727.7,15.48
728.02,16.63
728.34,14.44
728.66,14.71
728.98,15.56
729.299,14.38
729.619,16.89
729.939,14.27
730.258,13.71
730.578,13.4
730.897,18.03
731.217,14.85
731.536,15.59
731.856,13.76
732.175,16.7
732.494,16.69
732.814,14.06
733.133,15.53
733.452,14.79
733.771,18.93
734.09,18.07
734.409,15.09
734.728,16.06
735.047,15.28
735.366,15.09
735.684,17.18
736.003,13.14
736.322,15.41
736.641,15.52
736.959,15.44
737.278,12.27
737.596,14.68
737.915,14.82
738.233,13.9
738.552,15.8
738.87,13.77
739.188,16.45
739.507,19.3
739.825,16.27
740.143,17.93
740.461,15.22
740.779,17.08
741.097,15.66
741.415,13.43
741.733,17.79
742.051,15.88
742.369,17.07
742.687,16.56
743.004,17.1
743.322,16.56
743.64,15.74
743.957,15.8
744.275,14.63
744.593,18.51
744.91,16.05
745.227,17.18
745.545,17.68
745.862,13.81
746.179,18.17
746.497,16.47
746.814,14.53
747.131,16.38
747.448,17.28
747.765,16.78
748.082,19.91
748.399,15.73
748.716,16.3
749.033,15.47
749.35,18.07
749.667,14.03
749.983,12.69
750.3,16.36
750.617,17.38
750.933,16.54
751.25,16.62
751.566,16.21
751.883,19.33
752.199,16.86
752.516,15.43
752.832,15.85
753.148,16.18
753.464,16.78
753.781,19.03
754.097,20.3
