wavelength,reflectance,species,sample.number,specimen.type,measurement.type
385.118,5.31,battus,1,real.wing,
385.482,5.31,battus,1,real.wing,
385.846,5,battus,1,real.wing,
386.21,3.54,battus,1,real.wing,
386.573,5.07,battus,1,real.wing,
386.937,4.15,battus,1,real.wing,
387.301,7.26,battus,1,real.wing,
387.664,4.7,battus,1,real.wing,
388.028,3.81,battus,1,real.wing,
388.391,5.14,battus,1,real.wing,
388.755,4.07,battus,1,real.wing,
389.118,4.85,battus,1,real.wing,
389.481,6.09,battus,1,real.wing,
389.845,4.12,battus,1,real.wing,
390.208,4.48,battus,1,real.wing,
390.571,4.43,battus,1,real.wing,
390.934,4.94,battus,1,real.wing,
391.298,5.36,battus,1,real.wing,
391.661,4.8,battus,1,real.wing,
392.024,4.33,battus,1,real.wing,
392.387,4.17,battus,1,real.wing,
392.75,4.15,battus,1,real.wing,
393.113,5.76,battus,1,real.wing,
393.476,6.24,battus,1,real.wing,
393.838,4.98,battus,1,real.wing,
394.201,6.13,battus,1,real.wing,
394.564,5.02,battus,1,real.wing,
394.927,5.79,battus,1,real.wing,
395.289,5.72,battus,1,real.wing,
395.652,4.32,battus,1,real.wing,
396.015,5.66,battus,1,real.wing,
396.377,5.33,battus,1,real.wing,
396.74,4.31,battus,1,real.wing,
397.102,5.22,battus,1,real.wing,
397.465,4.98,battus,1,real.wing,
397.827,5.18,battus,1,real.wing,
398.189,5.29,battus,1,real.wing,
398.552,4.55,battus,1,real.wing,
398.914,5.21,battus,1,real.wing,
399.276,6.33,battus,1,real.wing,
399.638,5.37,battus,1,real.wing,
400,3.97,battus,1,real.wing,
400.363,5.64,battus,1,real.wing,
400.725,4.76,battus,1,real.wing,
401.087,4.6,battus,1,real.wing,
401.449,5.5,battus,1,real.wing,
401.81,5.91,battus,1,real.wing,
402.172,5.83,battus,1,real.wing,
402.534,5.36,battus,1,real.wing,
402.896,5.81,battus,1,real.wing,
403.258,4.69,battus,1,real.wing,
403.619,4.43,battus,1,real.wing,
403.981,5.54,battus,1,real.wing,
404.343,6.34,battus,1,real.wing,
404.704,5.86,battus,1,real.wing,
405.066,5.36,battus,1,real.wing,
405.427,6.13,battus,1,real.wing,
405.789,5.32,battus,1,real.wing,
406.15,5.61,battus,1,real.wing,
406.512,6.69,battus,1,real.wing,
406.873,6.49,battus,1,real.wing,
407.234,5.48,battus,1,real.wing,
407.596,7.03,battus,1,real.wing,
407.957,6.99,battus,1,real.wing,
408.318,5.5,battus,1,real.wing,
408.679,6.04,battus,1,real.wing,
409.04,5.67,battus,1,real.wing,
409.401,5.65,battus,1,real.wing,
409.762,5.44,battus,1,real.wing,
410.123,6.42,battus,1,real.wing,
410.484,5.13,battus,1,real.wing,
410.845,3.78,battus,1,real.wing,
411.206,7.11,battus,1,real.wing,
411.567,7.63,battus,1,real.wing,
411.927,6.53,battus,1,real.wing,
412.288,4.87,battus,1,real.wing,
412.649,5.5,battus,1,real.wing,
413.009,5.12,battus,1,real.wing,
413.37,5.83,battus,1,real.wing,
413.731,5.19,battus,1,real.wing,
414.091,6.24,battus,1,real.wing,
414.452,11.69,battus,1,real.wing,
414.812,5.21,battus,1,real.wing,
415.172,6.98,battus,1,real.wing,
415.533,6.88,battus,1,real.wing,
415.893,5.89,battus,1,real.wing,
416.253,6.02,battus,1,real.wing,
416.613,6.09,battus,1,real.wing,
416.974,6.96,battus,1,real.wing,
417.334,5.84,battus,1,real.wing,
417.694,5.43,battus,1,real.wing,
418.054,5.43,battus,1,real.wing,
418.414,7.25,battus,1,real.wing,
418.774,7.48,battus,1,real.wing,
419.134,7.34,battus,1,real.wing,
419.494,7.07,battus,1,real.wing,
419.853,7.42,battus,1,real.wing,
420.213,7.23,battus,1,real.wing,
420.573,7.97,battus,1,real.wing,
420.933,8.24,battus,1,real.wing,
421.292,7.1,battus,1,real.wing,
421.652,7.6,battus,1,real.wing,
422.011,7.28,battus,1,real.wing,
422.371,7.98,battus,1,real.wing,
422.73,8.73,battus,1,real.wing,
423.09,7.55,battus,1,real.wing,
423.449,7.29,battus,1,real.wing,
423.809,7.38,battus,1,real.wing,
424.168,8.95,battus,1,real.wing,
424.527,8.83,battus,1,real.wing,
424.887,8.96,battus,1,real.wing,
425.246,8.89,battus,1,real.wing,
425.605,9.1,battus,1,real.wing,
425.964,8.24,battus,1,real.wing,
426.323,8.28,battus,1,real.wing,
426.682,8.25,battus,1,real.wing,
427.041,8.14,battus,1,real.wing,
427.4,9.27,battus,1,real.wing,
427.759,7.46,battus,1,real.wing,
428.118,8.62,battus,1,real.wing,
428.477,9.12,battus,1,real.wing,
428.835,9.07,battus,1,real.wing,
429.194,10.62,battus,1,real.wing,
429.553,9.42,battus,1,real.wing,
429.911,10.88,battus,1,real.wing,
430.27,9.4,battus,1,real.wing,
430.629,9.38,battus,1,real.wing,
430.987,10.09,battus,1,real.wing,
431.346,9.03,battus,1,real.wing,
431.704,9.21,battus,1,real.wing,
432.062,10.91,battus,1,real.wing,
432.421,10.22,battus,1,real.wing,
432.779,10.57,battus,1,real.wing,
433.137,9.17,battus,1,real.wing,
433.496,9.91,battus,1,real.wing,
433.854,10.51,battus,1,real.wing,
434.212,10.12,battus,1,real.wing,
434.57,9.38,battus,1,real.wing,
434.928,10.95,battus,1,real.wing,
435.286,10.26,battus,1,real.wing,
435.644,12.37,battus,1,real.wing,
436.002,10.05,battus,1,real.wing,
436.36,10.74,battus,1,real.wing,
436.718,11.15,battus,1,real.wing,
437.075,10.74,battus,1,real.wing,
437.433,11.82,battus,1,real.wing,
437.791,10.48,battus,1,real.wing,
438.149,11.27,battus,1,real.wing,
438.506,10.9,battus,1,real.wing,
438.864,11.82,battus,1,real.wing,
439.221,11.73,battus,1,real.wing,
439.579,11.79,battus,1,real.wing,
439.936,12.33,battus,1,real.wing,
440.294,11.09,battus,1,real.wing,
440.651,11.21,battus,1,real.wing,
441.009,9.91,battus,1,real.wing,
441.366,10.85,battus,1,real.wing,
441.723,11.83,battus,1,real.wing,
442.08,13.3,battus,1,real.wing,
442.437,10.6,battus,1,real.wing,
442.795,12.48,battus,1,real.wing,
443.152,11.2,battus,1,real.wing,
443.509,12.88,battus,1,real.wing,
443.866,12.57,battus,1,real.wing,
444.223,10.42,battus,1,real.wing,
444.58,11.98,battus,1,real.wing,
444.936,12.82,battus,1,real.wing,
445.293,11.51,battus,1,real.wing,
445.65,11.75,battus,1,real.wing,
446.007,11.26,battus,1,real.wing,
446.363,13.28,battus,1,real.wing,
446.72,13.02,battus,1,real.wing,
447.077,13.7,battus,1,real.wing,
447.433,12.66,battus,1,real.wing,
